companyname,industry,tagline,description,city,zipcode,address,tel,fax,url,mail,president,contact,establishment,year_capital,n_employees,message,srcurl,amount_sales,main_client,start_business,office,branch,shop,start_branch,headoffice,oversea_branch,tel2,fax2
株式会社ＫＡＮＺＡＣＣ,電気・電子,めっき・電線・金属管加工技術で“ 新しい” のその先へ～100年の歴史を未来へ繋ぐ～,非鉄金属製造業,坂井市,913-0031,坂井市三国町新保97字港13,0776-81-2288,0776-82-6429,www.kanzacc.co.jp,hiroshi.minamiguchi@furukawaelectric.com,代表取締役社長 墨谷 義則,技術開発部長 南口 博,1920年1月,7億2千75万5千円,100名,当社は３つの事業（電線・めっき・金属管）のみならず、新たに導電性繊維などの新たな事業にチャレンジしており、お客様のジョブを解決することを第一にご提案を続けております。お客様の信頼は当社の歴史や綿々と育まれた高い技術力はもちろんですが、「人」がこれらを作り上げていきます。キラキラ輝く未来を目指し、明るく楽しく元気よくさらなる人財の育成に大きな力を注ぎ、皆様のお役に立てる企業を目指して参ります。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/143.html,"2,861百万円(2021年3月期)",パナソニック㈱、北陸電力㈱、古河AS㈱、古河エレコム㈱、古河産業㈱,,,,,,大阪市中央区久太郎町2-1-30 船場ダイヤモンドビル14階,,,
カンボウプラス株式会社　福井工場,化学,自然と環境にやさしく、高い機能性を持つキャンバス（膜材）を提供,ファイバー（繊維）とプラスチック（樹脂）の複合化によるキャンバスの製造、販売（工事用養生シート・軒だしテント地・テント倉庫用シート）・婦人衣 料用高感性素材,鯖江市,916-0015,鯖江市御幸町1丁目1-48,0778-51-6112,0778-51-6307,https://kanbo.co.jp,romu@kanbo.co.jp,福井工場長 北田 和之,管理部長 木村 吉年,1939年3月,"10億2,030万円",160名（うち福井工場：115名）,当社は、一級建築士も在籍しており、看板をはじめシート素材に関する建築の設計から施工までお客様のニーズに対応できる体制となっています。当社の製品について、設計や加工技術に対する問合せや、興味のある方の連絡をお待ちしています。また、当社は、ポリエステル生地をはじめとした色々な生地に、色々な機能性プラスチックを塗布またはラミネートすることができます。今後は多様なニーズに対応できるよう、加工技術のレベルアップを進めていきます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/056.html,85億円,帝人フロンティア㈱、ユニチカ㈱、㈱クラレ、キョーワ㈱,,,,,1972年9月（福井工場）,,,,
株式会社ギケン,機械・金属,「バリ取り不要」従来の常識を覆す製品開発を実現,「ハイブリッドドリル　ゼロバリ」の開発、製造、販売・切削工具の再研磨および加工、製作,坂井市,910-0381,福井県坂井市丸岡町舟寄9-3-1,0776-66-2200,0776-66-2227,https://www.kk-giken.com,,代表取締役 石川 義一,同　上,2012年9月,100万円,15名（親会社含む）,最近では大手航空機メーカーや自動車メーカーからの引き合いも多く、高い評価を得ています。世界に通じるドリルメーカーとして、今後も新しいドリルや切削工具の開発に挑戦していきます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/098.html,"6,300万円",㈱東京山勝、㈱サカイ、㈱テヅカ、吉岡幸㈱,,,,,,,,,
ギャレックス株式会社,繊維,"体育衣料国内シェア第2位全国約6 , 0 0 0 校で採用",スクール・スポーツウェア、カジュアルスポーツウェアの製造、販売 など・「GALAX」「FILA」「SPALDING」ブランドのスクール・スポーツウェア・カジュアルスポーツウェアの製造、販売・有名スポーツブランドのOEM生産・丸編ニット生地,越前市,915-0803,越前市平出1-12-22,0778-23-1100,0778-23-7721,https://www.galax.jp,info@galax.jp,代表取締役社長 金巻 賢哉,管理グループ総務チーム 竹澤 和弘,1963年3月,1億円,270名,当社は、学校体操服分野では独自の商品開発のもと「生地作りから最終製品」までの一貫体制を基盤に、全国の学校に納品されご愛顧いただいています。また、カジュアルスポーツウェアの分野ではスポーツ著名ブランドやカジュアルメーカーの基幹工場として各メーカーと太いパイプを築いています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/sports/026.html,100億円（グループ）,東レ㈱、帝人フロンティア㈱、KBセーレン㈱、クラレトレーディング㈱、伊藤忠商事㈱ 他,,,,,,,,,
清川メッキ工業株式会社,化学,自由なる創意の結果が、大いなる未来を拓く,めっき加工、表面処理,福井市,918-8515,福井市和田中1丁目414,0776-23-2912,0776-21-7402,https://www.kiyokawa.co.jp/,,代表取締役社長 清川 肇,技術部 課長 児玉 清人,1963年3月,"4,000万円",330名（グループ全体）,当社は、ISO9001、ISO14001を業界に先駆けて取得。2014年度には第5回「日本でいちばん大切にしたい会社」大賞において、中小企業庁長官賞を受賞しました。これからも、他社にないめっき技術で、最先端製品をお客様と共に開発し、社会に貢献していくことを目指しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/057.html,70億円,大手電子部品メーカー、大手半導体メーカー、医療機器メーカー,,,,,,,,,
株式会社クナプラス,繊維,丸ごと土に還る、ポリ乳酸繊維を使ったエコバッグを開発,繊維製品などの製造、卸売および小売,あわら市,919-0812,あわら市柿原63-85-1,0776-73-3997,0776-73-0093,http://knaplus.com,knaplus@knazs.com,代表取締役 京野 尚美,同　上,2008年12月（金津繊維㈱から独立して㈱クナプラスを設立）,200万円,5名,「knaplus」とは、kanazu-seni（金津繊維）とNature（自然）に、さまざまなヒトとコトが＋αされて作られたことの意味です。平成20年末に㈱クナプラスとして独立し、心機一転して福井の高度な技術を活かしたものづくりを発信していきたいと思っています。展示会に積極的に出品するなど国内外にアピールし続けていきたいと考えています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/027.html,,,,,,,,,,,
倉茂電工株式会社,電気・電子,大正８ 年創業　時代の変化に対応する電線・ケーブルメーカー,"電線・ケーブルの製造・移動配線用ケーブル(VCT,VCTF)・通信ケーブル(産業用イーサネットケーブル、産業用ネットワークケーブル、通信用屋内配線、LANケーブル)・電線加工商品(水中ポンプケーブル、水位制御用フロートスイッチ、コネクタ付きケーブル)など",越前市,915-0855,越前市下平吹町10-9,0778-22-1500,0778-22-3111,http://www.kuramo.co.jp,engineer@kuramo.co.jp,取締役社長 田中 利則,技術部長 大和 範勝,1934年4月,1億円,180名,産業用ロボットなどの可動部分に使われる耐久性の高いケーブルをはじめ、工場内での配線に必要な様々なケーブルを取り揃えています。今後もお客様のニーズに合わせ様々な環境に適した製品をご提供して参ります。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/143.html,59億円(令和2年10月期),,,,,,,,,,
クラレファスニング株式会社　丸岡工場,繊維,面ファスナーの国内シェアN o . 1 を誇るリーディングカンパニー,面ファスナーおよび関連製品の製造、開発、販売・織製面ファスナー「マジックテープ®」・ 成形面ファスナー「マジロック®」およびその関連商品注：「 マジックテープ®」「マジロック®」は㈱クラレの登録商標です。,坂井市,910-0273,坂井市丸岡町長畝56,0776-67-1940,0776-67-2895,http://www.magic-tape.com,,代表取締役社長 小林 敬幸,取締役丸岡工場長 奥野 敏明,1988年12月,1億円,,国内事業を取り巻く環境、社会のニーズが大きく変化しつつある21世紀。当社は、業界のリーディングカンパニーとして、地球環境に配慮した商品の開発をはじめ、より良い社会に貢献する製品・サービスの創造に力を注いでいきます。また、国内シェアナンバーワンを誇り、今や面ファスナーの代名詞ともなっている｢マジックテープ®｣は、当社の代表製品です。通常の織製面ファスナーはもちろん、両面タイプ、樹脂による成形タイプなど、当社の先進技術から生み出された数々の製品が、あらゆる産業分野で活躍しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/028.html,,,,,,,,,,,
光生アルミニューム工業株式会社　福井製作所,機械・金属,トヨタ、ホンダなどの純正品ホイールやオリジナルホイールを製造発,アルミホイール、自動車重要保安部品、各種機器およびその部品の製造、販売,福井市,910-3133,福井市石新保町28-69,0776-85-1081,0776-85-1082,http://www.koseijp.co.jp/,,取締役社長 松田 冬樹,福井総務課 主幹 岩田 仁美,1950年6月,"1億9,950万円",372名（福井製作所社員数）192名,近年、自動車を取り巻く技術革新は目覚しいものがあります。特に地球環境保全について、アルミ合金による軽量化・リサイクル技術がその中心的役割を果たさなくてはなりません。当社の使命がそこにあると強く自覚し、研究開発や生産活動に取り組んでいきたいと考えています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/100.html,103億円,トヨタ自動車㈱、ダイハツ工業㈱、ホンダ技研工業㈱ 、スズキ㈱,,,,,1990年3月（福井製作所）,,,,
株式会社光洋 若さ工場,伝統工芸・その他,介護現場用紙おむつ国内シェアトップクラス日本で唯一の大人用紙おむつ専門メーカー,大人用紙おむつ ディスパースオンリーワンシリーズの製造,若狭町,919-1552,三方上中郡若狭町　　　　　 若狭テクノバレー1号堤3-2,0770-62-1877,0770-62-1878,https://www.koyo.jp,,代表取締役社長 高木 孝昌,工場長 鑑継 武久,2016年9月（分社化実施）,"4,800万円",70名（若さ工場）,光洋ーディスパースは、「オンリーワンケア」という４つのコンセプトで、「排泄で悩む人がなくなる未来」を目指します。Ⅰ　「ご利用者ファースト」の考え方に基き開発される製品Ⅱ　革新をもたらすためのアイデアと技術Ⅲ　プロであり続けるための研鑽と教育貢献Ⅳ　オンリーワンの人生を支える奉仕の精神,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/medical/165.html,,全国の介護施設・病院,,,,,,,,,
株式会社こおろぎ社,伝統工芸・その他,世界のトッププロも絶賛するKOROGIブランドのマリンバ,楽器製造業・マリンバ・シロホンなど木琴類・グロッケン・ビブラフォンなど鉄琴類・小物打楽器類,越前町,916-0144,丹生郡越前町佐々生38-9-1,0778-34-2333,0778-34-2687,http://www.korogi.co.jp,front@korogi.co.jp,代表取締役社長 斎藤 宰,同　上,1949年,"1,960万円",24名,KOROGI社が最高の品質とリーズナブルな価格をともに実現している業界屈指の優良企業であることを世界中に知ってもらいたい。そしてKOROGIブランドを最も信頼できる強いブランドに育てたいと思っています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/culture/167.html,4.4億円,全音楽譜出版社、YAMAHA SHOPS、HAO SHENG MUSIC(台湾)SEOUL PERCUSSION(韓国)PUSTJENS PERCUSSION(オランダ)PERCUSSION SOURCE(米)　他,,,,,,,,,
小杉織物株式会社,繊維,浴衣帯の製造国内シェアN o . 1年間約1 5 0 万本を製造・出荷,合繊浴衣帯、和装小物などの製造卸・袋帯、単帯、結び帯・帯飾り、伊達締め合繊シャガード広巾織物・金ラン、振り袖帯、インテリア、カーシート、産業資材,坂井市,910-0303,坂井市丸岡町猪爪5-3-1,0776-66-0255,0776-66-0231,,ksgormn@fc4.so-ne.jp,代表取締役 小杉 秀則,同　上,1937年,"1,000万円",115名（グループ全体）,当社の袋織（円筒状）技術を活かし、今後の事業展開として、ゴムベルトやゴムホース（自動車関連や建設資材関連）などの構成部材への展開を検討しております。関連する企業や興味のある企業の方は是非一度ご連絡ください。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/029.html,17億円,㈱丹羽幸、木村実業㈱、京都丸紅㈱ 他,,,,,,,,,
株式会社コバード,機械・金属,パン生地で具材を包む包成機の世界トップ企業,食品自動機械の開発、製造、販売包餡機（一連、二連、三連、四連式）、充填成形機、蒸練機、かい式練機、マジックハンド、米飯成形機、ピザ成形装置、きんつば焼機 など,坂井市,919-0411,坂井市春江町藤鷲塚36,0776-51-5100,0776-51-5103,http://www.kobird.co.jp,,代表取締役社長 小林 博紀,専務取締役 吹上 透,1884年,"2,500万円",70名,独自の特許技術を多く保有し、自動化目的だけでなく、美味しい、手作り品質の食品製造機械を積極的に開発し、全国そして世界の食文化の発展、更に食の安全安心に貢献したいと思います。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/101.html,,大手製パン会社、和洋菓子製造業、蓄肉加工業、魚肉加工業、コンビニ向けベンダー 他,,,,,,,,,
株式会社コンベックス,眼鏡,レンズの未来を追求色を濃くせず、高い偏光度を保った偏光レンズを開発,プラスチックレンズの製造、販売・医療用プラスチックレンズ・サングラスレンズ,鯖江市,916-0019,鯖江市丸山町3丁目4-23,0778-52-6700,0778-52-1316,http://www.combex-net.co.jp,t-nishi@combex-net.co.jp,代表取締役 西方 俊陽,同　上,1947年9月,"3,000万円",24名,まだまだ偏光レンズはマイナーな存在ですが、性能を極めていくと、目の疲労を軽減する大きな可能性を秘めています。今後も新しいニーズに対応できるように開発をしていきたいと考えています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/sports/126.html,"4億5,600万円",伊藤光学工業㈱、日本レンズ工業㈱、国内眼鏡卸店、国内眼鏡小売店 他,,,,,,,,,
サカイオーベックス株式会社,繊維,中層型浮魚礁の国内シェアNo. 1,各種繊維品の染色、機能性加工アパレル、テキスタイルの企画、製造、販売医療資材の製造、販売魚礁など水産資材、環境資材の製造、販売炭素繊維織物の製造、販売,福井市,918-8530,福井市花堂中2丁目15-1,0776-36-5800,0776-36-5827,https://www.sakaiovex.co.jp/,info@sakaiovex.co.jp,代表取締役社長 松木 伸太郎,水産資材事業部 青山 勧,1891年,"46億5,504万円","487名（グループ1,018名）",当社は、独自の繊維加工技術を水産資材や環境保護に応用し、回遊魚を対象とした浮魚礁のほか、ナイロン糸を直毛した沈設型人工魚礁、水辺環境の保護に貢献する植物育成床（浮島）など、水産資源を育み、地球環境を守る取組みを推進しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/030.html,"218億9,735万円",沖縄県、和歌山県、高知県、鹿児島県　他,,,,,,,,,
酒井化学工業株式会社,プラスチック,暮らしを包み、未来を拓くプラスチック製包装資材メーカー,産業用プラスチック製品の製造販売,鯖江市,916-0088,鯖江市川去町32字2-1,0778-62-3700,0778-62-3701,https://www.sakai-grp.com,,代表取締役社長 酒井 清章,営業本部 久嶋 かおり,1963年,"9,750万円",627名(グループ全体),常に創意工夫と積極果敢の精神で仕事に取り組み、業界のリーディングカンパニーを目指すとともに、社員にとって、生きがいと働きがいのある職場づくりを行っています。企業の根幹は、人材です。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/072.html,236億円(2022年度),高島㈱、東神物産㈱、旭洋㈱、㈱八木熊、旭化成㈱ 他,,,,,,,,,
株式会社サカイ・シルクスクリーン,伝統工芸・その他,日本全国に設置実績。ユニバーサルデザインにも対応する高品質なサイン（案内板や誘導標）を企画・製造,各種サインの企画、製造、施工・各種案内板（解説板・誘導板）・ユニバーサルデザインサイン（点字・音声・LED導光板サイン）,永平寺町,910-1135,吉田郡永平寺町松岡室26-3,0776-61-6336,0776-61-6850,http://www.susnoaa.com/,,代表取締役社長 谷口 祥治,森、谷口,1975年4月,"1,000万円",27名,当社はユニバーサルデザインを目指し、できるだけ多くの人々が解りやすく、気持ちよく利用できる「サイン」を考えて製品造りを追求していきたいと考えています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/168.html,"3億6,000万円",西日本旅客鉄道㈱、公民営鉄道各社、鉄道関連工事会社、各種サイン製作会社、官公庁関連 他,,,,,,,,,
サカセ・アドテック株式会社,繊維,伝統技術からハイテク素材を生み出す宇宙用構造材料を手掛ける研究開発型企業,三軸織物の製造、販売・人工衛星、宇宙探査機、観測ロケット用の搭載器・建築内装成形品・釣り竿、陸上シューズ等のスポーツ用品用材料,坂井市,910-0363,坂井市丸岡町下安田14-10,0776-66-2115,0776-66-0173,https://www.sakase.co.jp,,代表取締役社長 酒井 慶治,専務取締役 酒井 良次,1988年2月,"5,000万円",18名,スポーツ用具/建築内装関係から宇宙用機器まで、高性能を追求される先端分野において顧客ニーズと社会に貢献する、小さくとも価値を創造する企業を目指す研究開発型企業です。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/aerospace/031.html,5億円,伊藤忠商事㈱、東レ㈱、三菱ケミカル㈱、国立研究開発法人宇宙航空研究開発機構,,,,,,,,,
サカセ化学工業株式会社,プラスチック,医療用キャビネット、カートの国内シェアN o . 1,医療用キャビネット・カート、医療用具、各種プラスチック、ゴム、木、ステンレス、アルミ製品の企画・開発・設計・製造・販売,福井市,910-0147,福井市下森田町3-5,0776-56-1122,0776-56-3698,https://www.sakase.com,info@sakase.com,代表取締役社長 酒井 哲夫,未来創成本部 本部長代理 木谷 佳敬,1962年1月,"9,600万円",170名,スーパーエンジニアリングプラスチックのことなら、ぜひ、当社にお問い合わせください。各分野の方からのご連絡をお待ちしております。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/medical/073.html,26億円,村中医療器㈱、㈱トーショー、㈱村田製作所、アズワン㈱ 他,,,,,,,,,
株式会社桜川ポンプ製作所　福井事業所,機械・金属,水中技術で課題解決水がある時だけ運転する機能を持った水中ポンプを発明,水中ポンプの製造、販売（建設用水中ポンプ、設備用水中ポンプ、エンジンポンプ、プールクリーナ、水中攪拌機、噴水、水流機）,坂井市,913-0038,坂井市三国町テクノポート2-5-5,0776-82-7862,0776-82-7938,https://www.sakuragawa.co.jp/,,福井事業所長 岩田 友典,管理本部 営業企画課 小田 伸一郎,1953年9月,"5,875万円",95名（うち福井事業所：40名）,当社スローガンを着実に実施し、静電容量式自動運転ポンプＵＥＸ型の市場への浸透と拡大を図るとともに、設備用ＵＯＸ、ＤＯＸ型を新発売して、工場設備の用途開発を進めます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/102.html,24億円,㈱アクティオ、㈱荏原製作所、アイム機械㈱,,,,,1992年12月,,,,
株式会社三景,繊維,アパレル業界のものづくりをトータルサポート＜ MADE by SANKEI ＞【三方よし】＜売り手よし　買い手よし　世間よし＞,服地、裏地、芯地、ファスナー、ボタン等、衣料資材ならびに、アクセサリー、スカーフ、ファッションベルト、バッグ等の服飾衣料資材のトータル生産・販売,坂井市,913-0037,坂井市三国町黒目21-7-4,0776-81-6830,0776-81-6845,https://www.sankeicoltd.co.jp/,hokuriku-kanri@sankeicoltd.co.jp,代表取締役社長 大口 和男,管理部門 財務経理部 小濱 孝,1955年10月,1億円,"1,930名",【私たちはアパレル業界のものづくりを支えるトータルサプライヤーとして挑戦を続けます】①メーカーとしての責任と誇りを持ち創造力を結集し、業界の発展に貢献しよう②フェア･クリーンであることを基本とし信頼･信用を築き続けよう③国境、世代を越え、より広いフィールドで活動しよう④地球環境、ビジネス環境、生活環境に向き合い、持続可能で豊かな未来をつくろう➄関わるすべてのひと･もの･ことへの思いやりを持ち、幸せの循環を私たちからはじめよう以上５つの指針を元に企業経営を行っています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/32.html,"29,600百万（2021年3月期 連結）",㈱オンワード樫山、伊藤忠商事㈱、日鉄物産㈱,,,,,,〒135-0062 東京都江東区東雲1-7-12 KDX豊洲グランスクエア6F,,,
株式会社サンルックス,眼鏡,プラスチックレンズ一筋、１００％メイドインジャパン品質,視力補正用プラスチックレンズの製造、販売,鯖江市,916-0019,鯖江市丸山町3-5-25,0778-52-1311,0778-52-9277,https://www.sunlux.jp,,代表取締役社長 長谷 仁,管理部 次長 若吉 和也,1978年7月,"4,500万円",75名,日本の視力補正用プラスチックレンズ製造の草分けとなった会社を前身として、今年で創業44年になります。日本最大のキャスティング工場から、日本製のレンズを提供し続け、これからも、より豊かな暮らしを営めるよう皆様の生活に役立っていきます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/127.html,18億円,東海光学㈱,,,,,,,,,
三和メッキ工業株式会社,化学,技術的に困難な硬質アルマイト処理後の着色処理を実現,各種めっき加工（硬質クロム・ニッケルクロム・アルマイト・硬質アルマイト・無電解ニッケル・亜鉛めっき・黒染・リューブ・バフ研磨・ナシジ）,福井市,918-8063,福井市大瀬町5-30-1,0776-23-1639,0776-27-4726,http://www.sanwa-p.co.jp,info@sanwa-p.co.jp,代表取締役社長 清水 栄次,同　上,1969年2月,"1,000万円",30名,世の中に存在する色（白以外）は着色することが可能です。色による識別や、多彩な色彩による他の製品との差別化が可能となります。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/060.html,"5億5,000万円",YKK㈱、㈱石川製作所 他,,,,,,,,,
有限会社シザーズ内山,伝統工芸・その他,世界理容競技大会日本代表選手も使用する精巧なハサミ,理容･美容ハサミの製造、販売,大野市,912-0014,大野市中保5-1-5,0779-65-3847,0779-65-4828,http://www.scissors-uchiyama.com,,代表取締役 内山 喜晴,,1988年7月,500万円,5名,当社のハサミを求めてくださるお客様方に、本当に心からご満足いただき、深い愛着を持っていただけることを第一に考えています。技術に終わりはありません。他では真似できない技術、今までにない製品の開発を常に考えて真摯に取り組んでいます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/170.html,,,,,,,,,,,
株式会社シー・シー・ユー,ICT（情報通信技術）,全国の地方銀行の5行に1行が採用している人事情報システム,パッケージソフトウェアの開発、販売「Fellowship人事」「Fellowship給与」「Fellowship就業」「Fellowship財務」「Fellowship販売/仕入」などクラウドサービスの提供地図連動のスマホ投稿システム「現場ＲＥＰＯ」小規模生産者のこだわり商品をご紹介・販売するネットショップ「北陸eもん」,坂井市,910-0347,坂井市丸岡町熊堂3-1-6-7ソフトパークふくい内,0776-67-6112,0776-67-6114,https://www.ccu.co.jp,ccuml-eigyo@ccu.co.jp,代表取締役 青山 博喜,デザインマーケティング部 山村 健治,1990年11月,"4,800万円",45名,福井人の誠実さとＰＣシステム開発30年の技をお試し下さい。「すべては地球の仲間の為に」が合言葉です。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/155.html,"3億5,000万円",全国金融機関 他,,,,,,,,,
株式会社 jig. jp,ICT（情報通信技術）,利用者に最も近いソフトウェアを提供し、より豊かな社会を実現,「ふわっち」等のモバイル向けアプリケーションの企画・開発・提供・「jigブラウザ」携帯電話用のPCサイトブラウザ・「Ichigo Jam」プログラミング専用こどもパソコン・「オープンデータプラットフォーム」自治体向け ASPサービス開発,鯖江市,916-0036,福井県鯖江市横越町10-34-1(本社)東京都渋谷区千駄ヶ谷5-23-5代々木イースト4階,03-5367-3891,03-3350-1043,https://www.jig.jp/,recruit@jig.jp,代表取締役社長 占部 哲之,人事総務 大庭 淳一,2003年5月,"8億7,700万円",70名,携帯電話をパソコン以上に便利に使うツール「jigブラウザ」。実は鯖江市めがね会館にある開発センターで作られています。携帯電話をより高速でより便利なものに…福井の職人の技が活きています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/smartphone/156.html,"89億8,400万円",Apple、Google,,,,,,,,,
シプロ化成株式会社,化学,日本で初めて紫外線吸収剤の開発に成功添加剤分野のリーディングカンパニー,紫外線吸収剤ほかプラスチック添加剤の製造販売,坂井市,913-0036,坂井市三国町米納津49-102-7,0776-82-7211,0776-82-7212,https://www.shipro.co.jp,,代表取締役社長 白石 泰章,管理部 総務課 課長代理 宮川 純一,1966年10月,"9,660万円",110名,紫外線吸収剤を筆頭に、添加剤分野におけるリーディングカンパニーとして、常に高機能な製品を安定して供給してまいりました。今後は次代の人材育成にも注力し、国内外からいただく評価とニーズに応えてまいります。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/061.html,50億円,三菱ケミカル㈱、BASF、住友化学㈱、三井化学㈱、日華化学㈱ 他,,,,,,,,,
株式会社下村漆器店,伝統工芸・その他,最先端病院給食システムのニュークックチルに対応した漆器,業務用漆器、家庭用漆器全般の製造、販売・IH専用食器・トレー（スーパーエンプラ・機能性コーティング）・陶漆（プラスチック）・游シリーズ（木製漆器）・最高級漆器『極』,鯖江市,916-1223,鯖江市片山町8-7,0778-65-0024,0778-65-2202,http://www.shimomurashikki.co.jp,,代表取締役社長 下村 昭夫,同　上,1962年6月,"1,000万円",13名,評価基準が最も過酷である電子レンジ、オーブンなどの対応食器を筆頭に、スーパーエンジニアプラスチックにおける超耐久性コーティング技術を有しております。また、コーティング技術単独で、色素汚染防止セラミックコーティング技術の実用化検討も行っており、関連分野の方の連絡をお待ちしています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/medical/171.html,,㈱エージーピー、国際化工㈱ 他,1900年,,,,,,,,
株式会社ジャストコーポレーション,プラスチック,レンタルDVD ケースの国内シェアNo. 1,DVDレンタルロックケース、LED照明、名刺・封筒等印刷、DM発送代行、のぼり、店舗備品、ノベルティ関連商品,福井市,918-8216,福井市殿下町46-3,0776-52-7800,0776-52-7801,https://www.just-shop.jp/corp/,info@just-j.com,折藤 寛之,,1988年7月,"1,000万円",147名,世の中になかった「モノ」、喜ばれる「モノ」を創造・提供し豊かな社会の実現に貢献することを企業の目標として掲げています。社会が求める商品に一つ上の価値を提案しワンランク上の豊かさを世界の人々に提供していきます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/culture/76.html,40.3億円,株式会社ゲオ、カルチュア・コンビニエンス・クラブ株式会社、株式会社サイバーネット,,,,,,,,,
株式会社シャトル,伝統工芸・その他,中学校用木工教材の国内シェアNo.1,木材からプラスチック、金属などあらゆる素材を使ったものづくりを展開・ 中学校用木工教材、手打ちそば道具などの木工品・ ゲートボール、マレットゴルフ、ニュースポーツ（スカットボール、オーバルボールなど）用品・精密機械金属部品加工、繊維機械部品（レピアパーツ）,越前市,915-0801,越前市家久町87-21-1,0778-23-1188,0778-22-7091,http://www.shuttle-corp.co.jp,,代表取締役社長 竹内 昭博,同　上,1947年9月,"6,900万円",43名,生徒が楽しく取り組める新しい教材の提供、間伐材や成長の早い再生可能な木材を使用して、教育指導要綱の指導内容に適した教材の供給に心掛けています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/172.html,7億円,全国の教材店 他,,,,,,,,,
ジャパンポリマーク株式会社,化学,永久接着のコーションラベルは国内全メーカーの自動車に採用,熱転写ラベルの製造、販売熱転写機器の製造、販売,福井市,910-3607,福井市清水杉谷町45-300,0776-98-2233,0776-98-3888,https://www.polymark.co.jp,,代表取締役社長 久保 浩章,海崎 勲,1985年5月,"6,000万円",133名,グローバルマーケットでの競争に勝っていくには、技術開発がとても重要と考えます。当社は開発型企業として、スタッフの充実を図り、積極的な投資を行って世界中の競合他社の追従を許さない企業を目指したいと考えています。福井をもっと元気に！をモットーに。熱転写ラベルの接着技術で、ブランド価値を高める為、また、商品価値を高める為に、さらに技術力・開発力を向上させ、安定したモノ作りをこの福井で行い、福井から日本へ、そして海外へ、これからも挑戦し続けます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/062.html,"21億1,700万円(2019年度実績)",,,,,,,,,,
株式会社シャルマン,眼鏡,地球規模の発想で挑戦総合眼鏡フレームメーカー,メガネフレームのマーケティング、商品企画・開発、デザインから生産、販売までを一貫して手がけ世界100カ国に事業を展開しています。フレーム事業で培った微細加工技術を生かし、先端医療機器の製造・販売も行っております。,鯖江市,916-8555,鯖江市川去町6-1,0778-52-4141,0778-52-5062,https://www.charmant.co.jp,info@charmant.co.jp,代表取締役社長 本庄 正享,R＆D室,1968年,"6億1,752万円",590名,シャルマンはこれからも“ 掛け心地” に妥協しない製品を開発していきます。さらに、医療分野への事業開始に伴い、社内に蓄積された素材に関する技術を活用し、もうひとつの事業の柱にすることを目指しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/128.html,177億円,,,,,,,,,,
