techname,tag,category,companyname,img,tagline,description,srcurl
水中ポンプ用フロートスイッチ,国内シェア1位,社会インフラ・ソリューション,倉茂電工株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/electro/kuramo03.jpg,液面をコントロールする技術に特長,工場、マンション、公共施設などの地下の水槽などに排水用として必ず水中ポンプが設置されています。この水中ポンプの運転を自動制御することで水槽内の水位を調節しています。この水中ポンプの自動制御において、起動と停止の位置を検出するためにフロートスイッチが使用されていますが、弊社はフロートスイッチにおいて国内シェアナンバーワン(約70%)を誇っています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/143.html
成形面ファスナー｢マジロック®」,,自動車,クラレファスニング株式会社　丸岡工場,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/kurarayfastenig02.jpg,成形面ファスナーによる車の部材固定技術,自動車は様々な部材の集まりであり、その組み立てには簡単に取り付けられること、強固に接合できることなど種々の要求があります。取り付けに困難を伴う自動車内装材を強固に取り付けられ、位置調整機能も有した部材固定具や、シートの複雑なデザインに柔軟に対応できる表皮固定具、内張り生地を傷めにくく、さまざまな意匠に適合できるフロアマット固定具などが、大手自動車メーカーで多数使われています。さらに、これらの技術は航空機分野にも応用されており、より高度な難燃性や軽量化要求など、航空会社の高い要求水準に適した商品を供給しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/028.html
面ファスナー「マジックテープ®」,国内シェア1位,ファッション,クラレファスニング株式会社　丸岡工場,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/kurarayfastenig03.jpg,面ファスナーの国内シェアNo.1,ボタンや紐に替わり、簡易に固定（結合）、脱着（剥離）できる面ファスナー「マジックテープ®」。（「マジックテープ®」は㈱クラレの登録商標です。）当社は、日本で最初に製造・販売を手掛けて以来50年もの間、アパレル、メディカル、鞄、手袋などみなさまの身の周りに、ブランド力と技術力に基づいた、さまざまな商品を開発し、提供してきました。当社は面ファスナーの国内シェアナンバーワン（60％）を誇るリーディングカンパニーです。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/028.html
自動車用アルミホイール,,自動車,光生アルミニューム工業株式会社　福井製作所,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/kosei-alumi02.jpg,機能性とデザイン性を兼ね揃えたアルミホイールを提供,当社福井製作所は、当社の国内におけるアルミホイール生産の拠点となっており、トヨタやホンダの純正品ホイールをはじめ、各種オリジナルホイールを製造。コンパクトカー向けから超大口径のもの、またはレーシングカー向けまで、幅広い製品を提供しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/100.html
オンリーワンパッド からだカーブ,,医療,株式会社光洋 若さ工場,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/other/kouyou-wakasa02.jpg,医療・介護現場の声を製品開発に。プロユースで培われた高性能紙おむつ,高齢者人口が年々増加する介護現場では、介護する側の深刻な人手不足のため、高い性能をもつ紙おむつを採用し、おむつの交換回数を減らす傾向にあります。当社の製品は、あてると自然に体に沿った形になる構造に設計。隙間ができにくく、逆戻りが非常に少ないのはもちろん、取り出してすぐに装着できる二つ折りでの製品梱包や、おむつに矢印やラインを施した「あて方ナビ」など、使用する人の立場に立った工夫が随所に光り、介護現場から厚い信頼を得ています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/medical/165.html
マリンバ、木琴の製作,国内シェア2位,カルチャー,株式会社こおろぎ社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/other/koorogi02.jpg,上質な音板は、技術者たちの誇りと高度な加工技術から,マリンバとは低い音を持つ木琴の総称で、調律された木の鍵盤を、マレット（鍵盤を鳴らすためのバチ）で叩いて音を出します。音板の下には増幅器の働きをする共鳴管がおかれていますが、この共鳴管の働きによって優しくて深い響きがよりいっそう強調されます。当社は音板の生産を原木から一貫生産している世界で唯一のメーカーであり、KOROGIブランド（一部OEM）で世界展開しています。世界の多くのトッププロにも優れた品質を認められ、各地のコンサートやホールで幅広く使用されるようになりました。国内販売額第１位、販売台数第２位（35％）のシェアを誇ります。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/culture/167.html
高密度多色柄無縫製の浴衣帯,国内シェア1位,社会インフラ・ソリューション,小杉織物株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/kosugiorimono02.jpg,色柄無縫製浴衣帯製造技術を確立し、最大15色の浴衣帯を実現,浴衣帯には単もの、袋ものがあり、袋ものの市場が主力です。しかし、従来の袋ものの浴衣帯の製造技術（平成11年に当社が開発）では4色の色柄しか出せませんでした。そこで、当社にて研究開発を行い、「高密度多色柄無縫製浴衣帯製造技術」を確立しました。これにより、最大15色の浴衣帯の製造が可能になり、デザインの幅が広がり、若い方から中高年の方まで、様々なニーズに応えることができるようになりました。現在、浴衣の国内年間消費数は約180万着あり、当社は、年間約150万本の浴衣帯を製造・出荷しています。（国内シェアナンバーワン（約80%））,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/029.html
手包みを超えた究極の包成機,世界シェア1位,機械・ロボット,株式会社コバード,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/kobirt02.jpg,手包みを超えた品質と、作業の合理化・省人化を実現,パン製造において、日本を代表する菓子パンである「あんぱん」や「ジャムパン」といったパン生地で具材を包んだパンの包餡（パン生地で具材を包むこと）成形過程は、複数の食品機械メーカーが機械化を目指したものの、生地が傷みやすいなどの課題が解消できず、いまだに手作業が主流となっています。当社が開発した包成機（商品名：マジックハンド）は、生地を傷めずに包み込み、手作業を超えた品質のパンを生産できる画期的な包成機で、多くのパン製造メーカーに採用され、世界シェアナンバーワン（95％）を誇っています。また、菓子パン以外にもカレードーナツ、本格派の中華饅頭に使用されています。（平成20年に「元気なモノ作り中小企業300社」（経済産業省）に選定）,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/101.html
スポーツ用淡色偏光サングラス,,スポーツ,株式会社コンベックス,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/eyewear/combex02.jpg,独自の生産管理により偏光レンズのより高い品質と機能性を実現,メインの素材であるフィルムは、高偏光度を可能にするヨード系偏光フィルムを使用。温度、湿度、季節などの要素を加味した独自のノウハウで生産されます。出来上がったレンズはフィルムとレンズ素材が張り合わせ方式ではなく分子的に結びつく融着方式により偏光レンズの弱点であるハガレに対して十分な強度を備えています。また、歪みを少なくするために、度付レンズと同じモノマーキャスト製法を用いるなど、独自の生産管理により高い品質と機能性を実現しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/sports/126.html
中層型浮魚礁,国内シェア1位,社会インフラ・ソリューション,サカイオーベックス株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/sakaiovex02.jpg,長年培ってきた繊維加工技術を応用,カツオ、マグロに代表される回遊魚の代表的な漁法として、沖に人工の浮魚礁を作り、魚を集める浮魚礁（パヤオ）漁があります。浮魚礁は、一般的には表層型（海面に浮いているもの）が主流ですが、当社が開発した「中層型浮魚礁」は、海面下約20mから100mに本体を設置するもので、表層型に比べ、耐久性に優れ、航路上の妨げにならないという利点があります。回遊魚漁を行う多くの漁業者に利用され、「中層型浮魚礁」において、国内シェアナンバーワン（60％）を誇っています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/030.html
手で切れる気泡緩衝材「ノンカッターパック」,,住宅・家電,酒井化学工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/plastic/sakaichemical02.jpg,はさみを使用せず手で切れる画期的な緩衝材。大手運送業者も採用,性質の違う素材を組み合わせる特殊技術を用いて緩衝材を2層構造にすることで、手で切れる機能を加えた気泡緩衝材を開発。はさみを使わずカットできるため、引越し現場や工場での作業効率を飛躍的に向上させています。また、この特殊技術を応用し、緩衝材入りクッション封筒を製造。封筒の容積を抑えた仕様で流通コスト削減を実現し、大手通販企業にも採用されています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/072.html
輸送用緩衝材「ミナスぺーサー　隙間梅太郎」,,社会インフラ・ソリューション,酒井化学工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/plastic/sakaichemical03.jpg,汚れに強く長持ち。運送業界で幅広く活用,従来、荷物を輸送する際の緩衝材は、重くて木くずの出やすいベニア板が主流でしたが、曲げても割れず、ゴミの出ない高発泡ポリエチレンシートを、耐久性に優れたフィルムでラミネートした3層構造の輸送用緩衝材を開発。緩衝性、耐久性、軽量化、薄さを同時に実現しました。軽量化により作業員の負担を軽減し、スリム化により積載量アップを可能にしています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/072.html
建築・土木用　高遮熱材「ラミパックSD」,,住宅・家電,酒井化学工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/plastic/sakaichemical04.jpg,省エネ効果抜群。一流建築士のリフォーム術にも採用,当社のラミネート加工技術を応用し、表面素材に純度99.3％のアルミ箔を使用した遮熱材を開発。屋根や壁に遮熱材として施工することで、快適な住環境を実現します。（財）建材試験センターでの測定結果では、他社製品に比べて2倍から3倍以上の遮熱性能を保持しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/housing/072.html
床面誘導サイン（クリーン・ポリカラー）手摺各種点字サイン（PCテンボスシート）,,社会インフラ・ソリューション,株式会社サカイ・シルクスクリーン,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/other/sakai-silk02.jpg,誘導サインとしての機能付加を、独自の印刷技術で可能に,「クリーン・ポリカラー」はウレタン樹脂製で、燃焼の際にも有毒物質が発生しないため、駅構内などの閉鎖的な空間でも安全です。また、耐候性にも優れ、色彩を永く保つことが出来、汚れ防止特殊コートと凹凸によりガムなどの付着物も簡単に取れます。「PCテンボスシート」はポリカーボネート製で裏面から点字を打刻する、視覚障害者にも対応できる点字サインで、表面に汚れ防止の特殊コートを施しています。手すり以外にも設置可能で、両製品ともに大阪駅構内やホームなど、JR西日本の各駅を中心に、路上や駐車場など、様々な場所で活用されています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/168.html
色褪せないステンレスホーロー製案内板サスミック・ノア（各種案内板）ノア・レリーフ（触知案内板）,,カルチャー,株式会社サカイ・シルクスクリーン,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/other/sakai-silk04.jpg,ステンレス板に無機質顔料を焼成印刷する独自の新しいサイン製法,「サスミック・ノア」は、特殊ステンレス鋼にホーロー加工を施した、錆びにくい新素材に、無機質（鉱物）顔料を焼成印刷する独自の新しい製法で作られています。このため、海岸沿岸や山岳地などの厳しい自然で全く損傷や変色などがなく、多彩な表現を半永久的に保つことができます。また、「ノア・レリーフ」は、「サスミック・ノア」の製造技術を応用した触知式サインで、凹凸や点字の上から無機質（鉱物）顔料を焼成印刷していますので、表示面が傷つくことなく、当社独自の色彩技術により視覚障害者の方でも利用できるよう、全ての人が見やすく解りやすい仕様になっています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/168.html
宇宙用構造材料,,航空・宇宙,サカセ・アドテック株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/sakaseadtech02.jpg,人工衛星や宇宙探査機搭載用アンテナに多数の納入実績,当社は、世界で唯一の三軸織技術を発端に、宇宙開発分野で培ったアンテナや展開構造物、複合材料に関する技術開発力を活かした製品の設計製作やアイディアを提案しています。宇宙探査機搭載用アンテナ、観測ロケット搭載用機器、国際宇宙ステーション用実験装置など、多数の開発製品が成果を上げています。中でも、JAXA『小惑星探査機はやぶさ』の帰還エピソードは特に有名になりました。現在、次世代の宇宙開発事業として、コンパクトに収納して打上げ、宇宙環境でより長く大きく展開することができる『宇宙展開構造物』の研究開発に取り組んでいます。これまでの、実証・実用化の経験と得られた貴重なデータを基に、宇宙搭載機器の更なる高機能・高性能を目指して行きます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/aerospace/031.html
建築・工業デザイン/高性能スポーツ用材料,,スポーツ,サカセ・アドテック株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/sakaseadtech03.jpg,構造特性と機能性を活かせる設計分野に貢献,三軸織物複合材料は軽くて保形性が高い特長を持つため、各分野においてこれまでにないデザイン性や機能性を発揮できます。建築や工業デザイン分野においては、『ぎふメディアコスモスのグローブ』を始め評価が高く、今後更なる活用が期待されています。スポーツ分野においては、『遠くに正確にリリースできる』釣り竿や、『飛距離と方向性に優れる』ゴルフシャフトを実現しました。ミズノが開発した超軽量の陸上競技用スパイクはNHK番組『プロジェクトX』で取り上げられ話題になりました。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/aerospace/031.html
医療用キャビネット、カート,国内シェア1位,医療,サカセ化学工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/plastic/sakasechemical02.jpg,スーパーエンジニアリングプラスチック射出成形技術,当社は、独自のプラスチック加工技術、金属加工技術、木材加工技術をフルに活用し、医療用キャビネットやカートを全国の病院に供給し、国内シェアナンバーワンを確立。病院内の物流の省力化に大きく貢献してきました。院内感染の防止が叫ばれる昨今、その対策製品「病棟・外来用滅菌物回収専用コンテナー」を開発。中身が見えて、軽く、耐熱、耐薬品性に優れるこの製品は、医療用キャビネットやカートと同じく当社独自の技術が大きく寄与し、多くのお客様に採用されています。当社独自のスーパーエンジニアリングプラスチック射出成形技術により生み出される製品は、医療のみならず、半導体分野や航空機分野、鉄道車輌分野など多くの先端分野に貢献しております。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/medical/073.html
静電容量式自動運転水中ポンプ,,社会インフラ・ソリューション,株式会社桜川ポンプ製作所　福井事業所,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/machine/sakuragawapomp02.jpg,ポンプ自身が最適な運転を自動計算する省エネ設計,水中ポンプは工事現場や設備に水を運ぶ機器として使用されますが、ポンプの使用中は常に水があるとは限らず、水のない渇水状態もあり得ます。渇水状態での運転を続けた場合、製品自体の寿命を縮めたり、騒音が発生することがあります。そこで当社では、水があるときだけ運転させる水位自動運転機能をポンプ自体に持たせることとし、水の検知を正確に行うために静電容量式の検知を行う新センサーを搭載した製品を開発しました。（平成18年度発明大賞の考案功労賞を受賞）,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/102.html
衣料品の製造に欠かせない裏地の染色加工,国内シェア1位,ファッション,株式会社三景,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/sankei02.jpg,豊富な種類や色数を取り揃え、表地にマッチする様々な裏地を生産,裏地に求められる要求は、「薄くて軽い」「ソフトで丈夫」「伸縮性がある」など、用途や目的に応じてこれらが組み合わされています。また、「抗菌防臭」「吸湿」「撥水」など、機能性に対する要望も多岐にわたります。さらに、表地に合わせて微妙な色の違いに拘ったカラー展開にも柔軟に対応する必要があります。これら様々な商品の生産に対応出来る様に、薄地商品の加工に特化した専用生産ラインを設けており、必要な商品を､必要な時に､必要な量だけ短サイクルで供給できる体制を整えています。商品の種類は300品番以上あり、各品番に最大200色の定番カラーを展開する事で、時代が求めるアパレル･ニーズにお応えする事が出来ます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/32.html
世界最軽量の芯地商品,,ファッション,株式会社三景,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/textile/sankei03.jpg,接着芯地としては驚異の軽さ12ｇ/㎥の芯地を実現欧州の数々のファッションブランドで採用,服を建築物で例えると、表地が外壁ならば、芯地は鉄筋コンクリートになります。芯地は外から見えない副資材ですが、服づくりにおいては欠かす事の出来ない大切な役割を担っています。【保型性】表地を補完して美しいシルエットやデザインを保ちます。【成形性】全体や部分的にハリを出したり、構築的なシルエットを作り出したり、形を整えます。【可縫性】芯地を貼ることで縫製がしやすくなります。この様に芯地は、柔らかくてしなやかな素材、厚くて毛足のある素材、薄くて透け感のある素材など多種多様な素材に対応する必要があります。幅広い商品ラインナップを用意している中で、世界最軽量の芯地商品は、世界のトップブランドが認めた当社の技術です。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/32.html
国産視力補正用プラスチックレンズのキャスティング,国内シェア1位,ファッション,株式会社サンルックス,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/eyewear/sunlux02.jpg,国内キャスティング（＝液状の樹脂を型に流しこみ成形する技術）生産量 国内シェア1位,プラスチックレンズは液体の原料をガラスの型に流し込んで成形しますが、通常、樹脂が硬化するのに20時間を要していました。当社は高周波を取り入れることで、わずか3.5時間で硬化させることに成功。世界最高の品質で世界のコストに挑戦しています。視力補正用の超高屈折率プラスチックレンズは、目の悪いお客様へ、薄く・軽く・かけ心地のいいレンズを提供しています。新商品の開発にも力を注ぎ、目の健康に必要な成分である” ルテイン”について、光から網膜のルテインの損傷を防ぎ、網膜を守ることで目の健康を保つルティーナレンズの開発に成功し、量産化。これからのメガネレンズのスタンダードを創っていきます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/127.html
硬質アルマイトへの着色処理,,自動車,三和メッキ工業株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/sanwamekki02.jpg,硬くて剥げない着色技術として、自動車部品などに活用,アルマイト処理とはアルミニウム専用のめっき処理のことで、より硬度や耐摩耗性が高いのが硬質アルマイト処理です。当社は、技術的に困難とされる硬質アルマイト処理後の着色処理を、独自の工程および染料の開発により実現しており、この技術で特許を取得しています。また当社は、国内の製造業の営業用ホームページのコンテスト「エミダスホームページ大賞2005」でグランプリに選ばれるなど、企業・個人向けの受注サイトを充実させており、ネット受注により多様なオーダーに応えています。また、SNSにも力を入れており、Twitterの活用と、Facebook上に自社と自社技術のファンページを開設しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/060.html
理容・美容ハサミ,,ファッション,有限会社シザーズ内山,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/other/scissours-yamauchi02.jpg,プロのハイレベルな要求に応える職人の技,日本の理容技術は世界トップレベルにありますが、世界理容競技大会に出場する日本代表選手は当社のハサミを使用しています。世界理容競技大会では、1本のうぶ毛や皮膚から出ている0.1mmの毛、1本の毛を半分に切ることなどが要求されるため、刃先の幅が0.3mm、厚さが0.3mmの薄さになるよう精巧に仕上げたハサミを提供しています。こうしたハサミを製造する職人の技能が認められ、平成19年度の「現代の名工」に当社の創業者が選ばれています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/170.html
統合人事システム「Fellowship人事」,,機械・ロボット,株式会社シー・シー・ユー,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/ict/ccu02.jpg,金融機関や医療機関向けの人事関連サブシステムが充実,中堅企業向け人事・給与・就業管理システムとして開発、販売してきたシステムですが、多人数かつ人的能力に依存する事業所様にとって便利な機能を多く有します。特に金融機関向けの豊富な機能により、現在、全国の地域銀行の5行に1行様で採用されています。また、医療機関向けの機能も拡充させ、医科大学様等へも採用を拡げています。今後は人財の活性化の為のタレントマネジメント機能やクラウドサービスによる提供により、導入の容易な高機能の商品にさらに育てていきたいと考えています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/machine/155.html
携帯電話でパソコンサイトを見るソフト（jigブラウザ）,,スマートフォン,株式会社 jig. jp,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/ict/jig02.jpg,容量をバイト単位で小さくし、高速化。快適な動作を実現,1人1台ほとんどの人が持っている携帯電話。しかしながら、スマートフォンではない携帯電話向けサイトは、パソコンと比較して情報量が極端に少なく、検索しても十分な情報が得られませんでした。もしパソコンのサイトをそのまま見ることができれば…そんな思いで開発したのが、この携帯電話初のダウンロード型フルブラウザ「jigブラウザ」で、2004年10月の提供開始以来、累計利用者数は約400万人以上となっています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/smartphone/156.html
プラスチックの製品寿命を飛躍的に延ばす紫外線吸収剤,国内シェア40%,社会インフラ・ソリューション,シプロ化成株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/shipro02.jpg,紫外線吸収剤の販売数量国内シェアトップクラス（約40％）,太陽光に含まれる紫外線をカットすることにより、紫外線によるプラスチックの劣化を防ぎ、プラスチックの製品寿命を飛躍的に延ばすことができます。新幹線の窓に使われるポリカーボネートや、自動車のヘッドライト・バンパー・シートカバー・シートベルトや、PC・TV・スマートフォンに採用されている有機ELディスプレイ、眼鏡やコンタクトレンズにも当社の紫外線吸収剤が使用されており、その販売数量は国内シェアトップクラス（40％）。身近な製品に、多数採用されています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/061.html
ニュークックチルシステム対応ＩＨ専用食器、トレー,,医療,株式会社下村漆器店,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/other/shimomura-sikki02.jpg,高度なコーティング技術により病院食器に漆器の高級感,ニュークックチルシステムとは、チルド保存された料理をそのまま配膳して器ごと再加熱する方式で、温かく安全な食事の提供ができるほか、盛り付けに要する手間も削減できる画期的システムです。この最先端のシステムは、病院などの集団給食用として全国各地で導入が進められています。当社は、チルド状態の食材を約150℃で熱することができる電磁調理器（IH）対応の個別食器と、これらの食器を運ぶためのトレーを開発し、暖かい食事と冷たい食事を同時に提供できるシステム食器として全国に提供しています。（平成21年に「第3回ものづくり日本大賞」の優秀賞を受賞）また、食事を加熱させる他の加熱方式（スチーム式、マイクロ波式）によるニュークックチルシステムにも対応した食器の開発にも成功し実用化させています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/medical/171.html
レスペックケース（レンタル用DVDケース）,国内シェア1位,住宅・家電,株式会社ジャストコーポレーション,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/plastic/justcorp02.jpg,特許取得・自社製造した、DVD・CDケース,当社は大手レンタルDVD店で利用されているレンタル用DVDケースを開発・製造しました。考案したケース「レスペックケース」の発明により、ケース自体にセキュリティ機能を兼ね備えた、リーズナブルで利便性の高いレンタル専用ケースを登場させました。この「レスペックケース」を導入することで お客様は商品棚に並んでいるケースの中身「内ケース（商品入）」だけを抜き取り、レジにて、内ケースごとレンタルするという「レンタルするまでの流れ」も作りあげました。また、店側も今までのように空箱を戻す手間やバックヤードへ商品を探しに行く事も無く、お客様をレジに待たせる時間も解消する事ができ、大変喜ばれました。今では当たり前のこの一連の流れですが、この仕組みによりバックヤードスペースの必要も無くなる為、商品陳列のスペース拡大にも繋がりました。一方、お客様側もパッケージの柄が無い透明な内ケースをレジに持って行く事で、周りのお客様の目を気にせずにレンタルすることが可能になり、プライバシーの観点からも喜ばれる事になりました。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/culture/76.html
中学校用木工教材,国内シェア1位,社会インフラ・ソリューション,株式会社シャトル,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/other/shuttle02.jpg,長く携わる中で培った製造技術を生かして、魅力ある教材を次々と開発,中学校の技術の授業に用いられる木工教材。当社の木工教材は、オリジナルブランド「スーパーキング」として全国の中学校で採用され、中学校用木工教材の生産において国内シェアナンバーワン（30%）を誇っています。自ら考え工夫して取組むことで “感性” を養うことができ、ものづくりの大切さや完成の喜びを体得させるものとして教育の一分野を担っています。その他、マシニングセンター、NC旋盤、研削盤等を使っての金属精密部品加工、ゲートボール及びスカットボール等ニュースポーツ、繊維機械部品、木工製品の製造をしていますので、木材、金属、プラスチック等のいろいろな素材への対応ができます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/city/172.html
自動車に表示する各種コーションラベル（注意書き）,国内シェア1位,自動車,ジャパンポリマーク株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/japanpolymark02.jpg,過酷な状況下でも耐久性に優れた、世界品質のラベル,ＰＬ法の施行により、各メーカーは自動車に永久接着のコーション（注意書き）ラベルによる表示が必要となりましたが、当社は国内で初めてその研究に着手し、技術開発に成功しました。自動車のサンバイザーに表示するエアバッグのコーションラベルや、自動車のシートベルトに表示するシートベルトのコーションラベルを各自動車メーカーに供給し、国内でトップシェアを獲得しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/062.html
模倣対策熱転写ラベル,,スポーツ,ジャパンポリマーク株式会社,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/chemical/japanpolymark03.jpg,ブランド独自の模倣対策を支援。国内外有名スポーツアパレル・カジュアルのブランドマークに採用。,サッカーでは多くのサポーターが、サポートするチームのユニフォームを着て試合を観戦します。そのユニフォームのナンバーやネーム（選手名）もチームのブランドです。このブランドを守るために、2007年にＪリーグチームのナンバーやネーム向けに「模倣対策熱転写ラベル」を開発し、2008年からはサッカー日本代表ユニフォーム用にも採用されています。熱転写が可能な素材であれば、この模倣対策熱転写ラベルによって、ブランドの信頼を高めることができます。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/car/062.html
ニッケルフリーの超弾性チタン合金「エクセレンスチタン」,国内シェア1位,ファッション,株式会社シャルマン,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/eyewear/charmant02.jpg,無限の可能性をもたらす素材に対するこだわり,金属研究の世界的権威である東北大学金属材料研究所と8年間に渡る研究開発の末、実用化に成功した、「エクセレンスチタン」は、①強さ、②軽さ、③さびにくさ、④ニッケルフリーというメガネフレームに求められる性能を全て併せ持ちます。さらには⑤柔らかく曲がり、元の形状に戻る「超弾性」という性能を発現するため、メガネフレームのつるに採用することで、掛けている人の頭を包み込むような柔らかな感触（掛け心地）を長く持続する、まさにメガネフレームにとって理想的なベネフィットを実現することが出来ました。2009年に発売した「ラインアートシャルマン」を始め、エクセレンスチタンを使用した商品は、国内および海外の販売累計500万枚（2021年9月現在）を超え、その掛け心地の良さを高く評価いただいております。またスタイリッシュなデザインとトレンド感を取り入れた「ラインアートシャルマン　アイ・シリーズ」を新たに加え、幅広い世代に向けた商品として展開し続けております。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/128.html
チタン製メガネフレームのレーザ微細接合技術,国内シェア1位,ファッション,株式会社シャルマン,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/images/eyewear/charmant03.jpg,レーザ微細接合技術が切り拓くメガネフレームの可能性,微細な金属部品をレーザで接合する技術を開発し、従来の接合方法では実現できなかったメガネフレームの常識を打ち破るデザイン性と機能性を兼ね備えた製品の製造が可能になりました。レーザ微細接合技術は、0.5mm以下のスポット径でレーザを照射することで、瞬時に金属を溶かし接合することができるため、フレーム素材にかかる高温の熱影響を最小限に抑え、素材の特性を活かした製品を実現します。それによって、直径0.6mmよりも細いワイヤーを複数で構成した立体造形のつるにおいて、エクセレンスチタンの特長である超弾性特性を発揮した組立てが可能となり、従来にはない快適な掛け心地と美しく独創的なデザインの「ラインアートシャルマン」の商品化に成功しています。,http://info.pref.fukui.jp/tisan/sangakukan/jitsuwafukui/fashion/128.html
